name,lat,lon,humidity,time_recorded
Bazpur,29.15,79.116669,80,2017-07-15T21:55:50Z
Baloda Bazar,21.66667,82.166672,100,2017-07-15T21:55:50Z
Azamgarh,26.059999,83.186111,70,2017-07-15T21:55:50Z
Walbrzych,50.771412,16.284321,84,2017-07-13T09:49:20Z
Zhengzhou,34.757778,113.648613,64,2017-07-13T09:49:20Z
Villazon,-22.08659,-65.594223,30,2017-07-13T09:49:21Z
Uchiza,-8.45917,-76.463333,59,2017-07-13T09:49:24Z
Hazorasp,41.319439,61.074169,28,2017-07-13T09:49:25Z
Chinoz,40.93639,68.769722,37,2017-07-13T09:49:26Z
Mucumpiz,8.41667,-71.133331,99,2017-07-13T09:49:26Z
Buzovna,40.517891,50.113899,92,2017-07-13T09:49:26Z
Amirdzhan,40.426392,49.983608,88,2017-07-13T09:49:26Z
Nuzvid,16.783331,80.849998,87,2017-07-13T09:49:35Z
Suzaka,36.650002,138.316666,98,2017-07-13T09:49:35Z
Salzburg,47.799412,13.04399,80,2017-07-13T09:49:38Z
Venezia,45.43861,12.32667,57,2017-07-13T09:49:38Z
La Paz,-34.761669,-56.22361,76,2017-07-13T09:49:40Z
Monze,-16.283331,27.48333,32,2017-07-13T09:49:41Z
Petrozavodsk,61.784912,34.346909,60,2017-07-13T09:49:41Z
Vyazemskiy,47.537777,134.752502,90,2017-07-13T09:49:41Z
Voronezh,51.666389,39.169998,85,2017-07-13T09:49:41Z
Kozani,40.301109,21.78639,26,2017-07-13T09:49:43Z
Potenza,40.644321,15.80857,23,2017-07-13T09:49:43Z
Yuzhno-Sakhalinsk,46.958118,142.733658,85,2017-07-13T09:49:45Z
La Paz,-16.5,-68.150002,19,2017-07-13T09:49:45Z
Miyazaki-shi,31.91111,131.423889,100,2017-07-13T09:49:46Z
Kashiwazaki,37.366669,138.550003,97,2017-07-13T09:49:47Z
Enzan,35.700001,138.733337,98,2017-07-13T09:49:47Z
Uozu,36.799999,137.399994,94,2017-07-13T09:49:47Z
Tarumizu,31.48333,130.699997,100,2017-07-13T09:49:47Z
Obanazawa,38.603329,140.401947,94,2017-07-13T09:49:47Z
Ozu,33.5,132.550003,98,2017-07-13T09:49:47Z
Tezpur,26.633329,92.800003,90,2017-07-13T09:49:48Z
Uzice,43.858608,19.84878,61,2017-07-13T09:49:48Z
Sarzana,44.11145,9.95859,83,2017-07-13T09:49:48Z
Penzance,50.11861,-5.53715,100,2017-07-13T09:49:49Z
Heidenheim an der Brenz,48.677979,10.15162,76,2017-07-13T09:49:52Z
Sulzbach-Rosenberg,49.498329,11.75167,77,2017-07-13T09:49:52Z
Tabriz,38.080002,46.291901,45,2017-07-13T09:49:53Z
Kazerun,29.61949,51.654148,17,2017-07-13T09:49:53Z
Bandar-e Anzali,37.472698,49.4622,100,2017-07-13T09:49:53Z
Cadiz,36.533611,-6.29944,22,2017-07-13T09:49:54Z
Kunduz,36.728958,68.857002,31,2017-07-13T09:49:55Z
Sidi Bouzid,35.038231,9.48494,11,2017-07-13T09:49:55Z
Bizerte,37.274422,9.87391,71,2017-07-13T09:49:56Z
Izmir,38.412731,27.13838,50,2017-07-13T09:49:56Z
Gebze,40.802761,29.430679,86,2017-07-13T09:49:56Z
Orhangazi,40.48917,29.308889,41,2017-07-13T09:49:56Z
Cerkezkoy,41.285,28.00028,97,2017-07-13T09:49:56Z
Geulzuk,40.716671,29.828609,44,2017-07-13T09:49:56Z
Erzincan,39.75222,39.492779,22,2017-07-13T09:49:56Z
Rize,41.020828,40.521938,58,2017-07-13T09:49:56Z
Kuzhithurai,8.31667,77.183327,100,2016-11-21T10:20:47Z
Kizhake Chalakudi,10.3,76.349998,90,2016-11-21T10:20:48Z
Jahazpur,25.616671,75.283333,59,2016-11-21T10:20:52Z
Ghazipur,25.58333,83.566673,83,2016-11-21T10:20:53Z
Firozabad,27.15,78.416672,71,2016-11-21T10:20:53Z
Fazilka,30.4,74.033333,76,2016-11-21T10:20:53Z
Faizpur,21.16667,75.849998,67,2016-11-21T10:20:53Z
Chandur Bazar,21.241671,77.74556,73,2016-11-21T10:20:55Z
Bazpur,29.15,79.116669,81,2016-11-21T10:20:55Z
Baloda Bazar,21.66667,82.166672,71,2016-11-21T10:20:55Z
Azamgarh,26.059999,83.186111,81,2016-11-21T10:20:55Z
Aizawl,23.73333,92.716667,89,2016-11-21T10:20:55Z
Afzalpur,17.200001,76.349998,62,2016-11-21T10:20:55Z
Afzalgarh,29.4,78.683327,81,2016-11-21T10:20:55Z
Muvattupuzha,9.97985,76.573807,79,2016-11-21T10:20:55Z
Rawanduz,36.61631,44.531109,77,2016-11-21T10:20:57Z
Az Zubayr,30.39447,47.701141,65,2016-11-21T10:20:57Z
Al Aziziyah,32.90583,45.06163,83,2016-11-21T10:20:59Z
Saqqez,36.24992,46.273499,38,2016-11-21T10:21:02Z
Shahin Dezh,36.679298,46.566898,58,2016-11-21T10:21:02Z
Sabzevar,36.212601,57.681911,71,2016-11-21T10:21:02Z
Ramhormoz,31.27997,49.603512,61,2016-11-21T10:21:02Z
Neyriz,29.198799,54.327801,72,2016-11-21T10:21:03Z
Nazarabad,35.952099,50.607498,78,2016-11-21T10:21:03Z
Mehriz,31.591681,54.431782,86,2016-11-21T10:21:03Z
Firuzabad,28.8438,52.570702,79,2016-11-21T10:21:06Z
Borazjan,29.2666,51.2159,74,2016-11-21T10:21:08Z
Azna,33.609501,48.930698,78,2016-11-21T10:21:10Z
Ahvaz,31.320299,48.6693,43,2016-11-21T10:21:10Z
Dorcheh Piaz,32.61528,51.555561,71,2016-11-21T10:21:10Z
Pozzallo,36.730541,14.84989,99,2016-11-21T10:21:11Z
Catanzaro,38.890789,16.5987,100,2016-11-21T10:21:11Z
Vigonza,45.427601,11.95941,98,2016-11-21T10:21:12Z
Terzigno,40.81221,14.49644,94,2016-11-21T10:21:13Z
Selvazzano Dentro,45.391392,11.80051,98,2016-11-21T10:21:13Z
San Lazzaro di Savena,44.46777,11.41401,97,2016-11-21T10:21:13Z
Rozzano,45.38187,9.16055,100,2016-11-21T10:21:13Z
Roseto degli Abruzzi,42.666351,14.0227,86,2016-11-21T10:21:14Z
Pomezia,41.667011,12.50518,80,2016-11-21T10:21:14Z
Oderzo,45.779999,12.48806,98,2016-11-21T10:21:15Z
Melzo,45.50127,9.42525,100,2016-11-21T10:21:15Z
Gorizia,45.94088,13.62167,100,2016-11-21T10:21:15Z
Gorgonzola,45.53157,9.40465,100,2016-11-21T10:21:15Z
Fidenza,44.86396,10.06668,100,2016-11-21T10:21:15Z
Cavarzere,45.135559,12.08167,98,2016-11-21T10:21:15Z
Carate Brianza,45.673679,9.23594,100,2016-11-21T10:21:15Z
Calenzano,43.855949,11.16272,97,2016-11-21T10:21:15Z
Busto Arsizio,45.611279,8.84914,100,2016-11-21T10:21:15Z
Arzignano,45.519291,11.33859,96,2016-11-21T10:21:15Z
